qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|L0K857|L0K857_HALHC	UPIMAPI	Trypsin-like serine protease with C-terminal PDZ domain	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00595;PF13365;
tr|L0JZN7|L0JZN7_9EURY	UPIMAPI	Uncharacterized protein			PF19095;
tr|L0ILR7|L0ILR7_THETR	UPIMAPI	Carbon dioxide concentrating mechanism/carboxysome shell protein	bacterial microcompartment [GO:0031469]		PF00936;
tr|L0HJY3|L0HJY3_METFS	UPIMAPI	N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H	methyltransferase activity [GO:0008168]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]		PF02007;
tr|L0HIQ8|L0HIQ8_METFS	UPIMAPI	5,10-methylenetetrahydromethanopterin reductase (EC 1.5.98.2) (Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase) (Methylene-H(4)MPT reductase)	cytoplasm [GO:0005737]; coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase activity [GO:0018537]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	1.5.98.2	PF00296;
tr|L0HG11|L0HG11_METFS	UPIMAPI	DUF3821 domain-containing protein	extracellular region [GO:0005576]; membrane [GO:0016020]; S-layer [GO:0030115]		PF12863;PF18204;
tr|L0HFW2|L0HFW2_METFS	UPIMAPI	Small ribosomal subunit protein uS8	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		PF00410;
tr|L0HFT2|L0HFT2_METFS	UPIMAPI	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]	2.8.4.1	PF02241;PF02783;
tr|L0HES5|L0HES5_METFS	UPIMAPI	Ferritin-like protein	cytosol [GO:0005829]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; ferroxidase activity [GO:0004322]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]		PF00210;
tr|L0HEI3|L0HEI3_METFS	UPIMAPI	formate dehydrogenase (coenzyme F420) (EC 1.17.98.3)	iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor [GO:0052592]	1.17.98.3	PF13183;PF04432;PF04422;
tr|L0HDN6|L0HDN6_METFS	UPIMAPI	Molecular chaperone (Small heat shock protein)			PF00011;
tr|L0HCB0|L0HCB0_METFS	UPIMAPI	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate, water dikinase activity [GO:0008986]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	2.7.9.2	PF00391;PF02896;PF01326;
tr|L0HAF8|L0HAF8_METFS	UPIMAPI	Formate dehydrogenase, alpha subunit, archaeal-type	membrane [GO:0016020]; 4 iron, 4 sulfur cluster binding [GO:0051539]; formate dehydrogenase (NAD+) activity [GO:0008863]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase activity [GO:0003954]; formate metabolic process [GO:0015942]; respiratory electron transport chain [GO:0022904]		PF04879;PF00384;PF01568;
tr|L0FWI5|L0FWI5_ECHVK	UPIMAPI	Outer membrane receptor for ferrienterochelin and colicins	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;PF00593;
tr|L0F5D2|L0F5D2_DESDL	UPIMAPI	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB (EC 1.3.7.8)	benzoyl-CoA reductase activity [GO:0018522]; hydro-lyase activity [GO:0016836]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	1.3.7.8	PF06050;
tr|L0F326|L0F326_DESDL	UPIMAPI	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	hydro-lyase activity [GO:0016836]		PF06050;
tr|L0DDH1|L0DDH1_SINAD	UPIMAPI	Type VI secretion protein, EvpB/VC_A0108 family			PF05943;PF18945;
tr|K9Z2F0|K9Z2F0_CYAAP	UPIMAPI	Extracellular solute-binding protein, family 7	tripartite ATP-independent periplasmic transporter complex [GO:0031317]; metal ion binding [GO:0046872]; organic acid binding [GO:0043177]; organic acid transport [GO:0015849]; transmembrane transport [GO:0055085]		PF03480;
tr|K9S4F8|K9S4F8_9CYAN	UPIMAPI	Conserved repeat domain protein			PF01345;
tr|K9QIK0|K9QIK0_9NOSO	UPIMAPI	adenosine deaminase (EC 3.5.4.4)	cytosol [GO:0005829]; adenosine deaminase activity [GO:0004000]; adenosine catabolic process [GO:0006154]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]	3.5.4.4	PF00962;
tr|K9IZS4|K9IZS4_DESRO	UPIMAPI	Putative conserved plasma membrane protein	apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cilium [GO:0005929]; microvillus membrane [GO:0031528]; prominosome [GO:0071914]; cholesterol binding [GO:0015485]; camera-type eye photoreceptor cell differentiation [GO:0060219]; photoreceptor cell maintenance [GO:0045494]		PF05478;
tr|K8PA47|K8PA47_9BRAD	UPIMAPI	Phosphonate C-P lyase system protein PhnK	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; lyase activity [GO:0016829]; organic phosphonate catabolic process [GO:0019700]		PF00005;
tr|K8EA32|K8EA32_9FIRM	UPIMAPI	Copper amine oxidase domain protein			PF07833;
tr|K7ZPQ2|K7ZPQ2_9BACT	UPIMAPI	[FeFe]-hydrogenase			PF02906;
tr|K6Y347|K6Y347_9ALTE	UPIMAPI	AraC family transcriptional regulator	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]		PF12852;PF12833;
tr|K6U8X0|K6U8X0_9EURY	UPIMAPI	CoB--CoM heterodisulfide reductase iron-sulfur subunit A (EC 1.8.-.-)	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	1.8.-.-	PF12831;PF00037;
tr|K6U6K0|K6U6K0_9EURY	UPIMAPI	Dinitrogenase iron-molybdenum cofactor biosynthesis domain-containing protein			PF02579;
tr|K6U3N2|K6U3N2_9EURY	UPIMAPI	Histones H3 and H4	chromosome [GO:0005694]; cytoplasm [GO:0005737]; protein heterodimerization activity [GO:0046982]		PF00808;
tr|K6U1N4|K6U1N4_9EURY	UPIMAPI	Archaeal/vacuolar-type H+-ATPase subunit A	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; ATP metabolic process [GO:0046034]		PF22919;
tr|K6U0X0|K6U0X0_9EURY	UPIMAPI	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (HMGCS) (EC 2.3.3.10)	acetyl-CoA C-acetyltransferase activity [GO:0003985]; hydroxymethylglutaryl-CoA synthase activity [GO:0004421]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	2.3.3.10	PF08541;PF01154;
tr|K6U0D5|K6U0D5_9EURY	UPIMAPI	Methyl-coenzyme M reductase subunit gamma (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]	2.8.4.1	PF02240;
tr|K6U020|K6U020_9EURY	UPIMAPI	Small ribosomal subunit protein uS8	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		PF00410;
tr|K6TY70|K6TY70_9EURY	UPIMAPI	PDK repeat-containing protein	membrane [GO:0016020]		PF07705;PF13290;PF01345;PF11824;PF13517;PF18911;
tr|K6TT41|K6TT41_9EURY	UPIMAPI	AIM24 family protein			PF01987;
tr|K6TPF5|K6TPF5_9EURY	UPIMAPI	Coenzyme F420-reducing hydrogenase, alpha subunit	ferredoxin hydrogenase activity [GO:0008901]; nickel cation binding [GO:0016151]		PF00374;
tr|K6TLX4|K6TLX4_9EURY	UPIMAPI	CoB--CoM heterodisulfide reductase subunit B	CoB--CoM heterodisulfide reductase activity [GO:0051912]; methanogenesis [GO:0015948]		PF02754;
tr|K6TIY8|K6TIY8_9EURY	UPIMAPI	Coenzyme F420 hydrogenase subunit beta (EC 1.12.98.1)	coenzyme F420 hydrogenase activity [GO:0050454]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]; oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor [GO:0052592]	1.12.98.1	PF04432;PF04422;
tr|K6T7B3|K6T7B3_9EURY	UPIMAPI	Transcriptional regulator GfcR	DNA binding [GO:0003677]; orotate phosphoribosyltransferase activity [GO:0004588]; pyrimidine nucleobase biosynthetic process [GO:0019856]; regulation of gene expression [GO:0010468]; UMP biosynthetic process [GO:0006222]		PF00156;
tr|K6GMR5|K6GMR5_9BACT	UPIMAPI	Outer membrane protein/peptidoglycan-associated (Lipo)protein	cell outer membrane [GO:0009279]		PF00691;
tr|K6C025|K6C025_SCHAZ	UPIMAPI	Propanediol utilization protein PduB	bacterial microcompartment [GO:0031469]; structural molecule activity [GO:0005198]		PF00936;
tr|K6ATV6|K6ATV6_9BACT	UPIMAPI	SusC/RagA family TonB-linked outer membrane protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF07715;PF00593;
tr|K6AP91|K6AP91_9BACT	UPIMAPI	Tetratricopeptide repeat protein			PF13181;
tr|K6A6P6|K6A6P6_9BACT	UPIMAPI	DUF6383 domain-containing protein			PF19910;
tr|K5ZHM4|K5ZHM4_9BACT	UPIMAPI	DUF6383 domain-containing protein			PF19910;
tr|K5CJG4|K5CJG4_9BACE	UPIMAPI	SusC/RagA family TonB-linked outer membrane protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF07715;
tr|K5C9G4|K5C9G4_9BACE	UPIMAPI	Alpha-1,2-mannosidase	cytosol [GO:0005829]; carbohydrate binding [GO:0030246]; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity [GO:0000224]; carbohydrate metabolic process [GO:0005975]; glycoprotein catabolic process [GO:0006516]		PF07971;PF17678;
tr|K4KZ81|K4KZ81_SIMAS	UPIMAPI	Putative oar protein	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;PF00593;
tr|K3ZHE6|K3ZHE6_SETIT	UPIMAPI	NB-ARC domain-containing protein	ADP binding [GO:0043531]; defense response [GO:0006952]; response to other organism [GO:0051707]		PF23598;PF00931;PF18052;PF23559;
tr|K2RRZ7|K2RRZ7_METFP	UPIMAPI	PRC-barrel domain-containing protein			PF05239;
tr|K2RRN3|K2RRN3_METFP	UPIMAPI	Methyl viologen-reducing hydrogenase subunit alpha	ferredoxin hydrogenase activity [GO:0008901]; nickel cation binding [GO:0016151]		PF00374;
tr|K2REI5|K2REI5_METFP	UPIMAPI	Coenzyme F420 hydrogenase subunit gamma	coenzyme F420 hydrogenase activity [GO:0050454]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]		PF13237;PF01058;
tr|K2RCN2|K2RCN2_METFP	UPIMAPI	Cob/CoM heterodisulfide reductase subunit B	CoB--CoM heterodisulfide reductase activity [GO:0051912]; methanogenesis [GO:0015948]		PF02754;
tr|K2RBU1|K2RBU1_METFP	UPIMAPI	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]	7.1.2.2	PF00006;PF02874;PF16886;PF22919;
tr|K2RAW4|K2RAW4_METFP	UPIMAPI	Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; fructose-bisphosphate aldolase activity [GO:0004332]; magnesium ion binding [GO:0000287]; gluconeogenesis [GO:0006094]	3.1.3.11; 4.1.2.13	PF01950;
tr|K2RAN9|K2RAN9_METFP	UPIMAPI	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]	2.8.4.1	PF02241;PF02783;
tr|K2R8M5|K2R8M5_METFP	UPIMAPI	Roadblock/LC7 family protein	guanyl-nucleotide exchange factor activity [GO:0005085]; molecular adaptor activity [GO:0060090]; positive regulation of TOR signaling [GO:0032008]		PF03259;
tr|K2R6I7|K2R6I7_METFP	UPIMAPI	CoB--CoM heterodisulfide reductase iron-sulfur subunit A (EC 1.8.-.-)	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	1.8.-.-	PF12831;PF00037;PF13237;
tr|K2R3X9|K2R3X9_METFP	UPIMAPI	5,10-methylenetetrahydromethanopterin reductase (EC 1.5.98.2) (Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase) (Methylene-H(4)MPT reductase)	cytoplasm [GO:0005737]; coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase activity [GO:0018537]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	1.5.98.2	PF00296;
tr|K2R3R6|K2R3R6_METFP	UPIMAPI	Phosphate binding protein	membrane [GO:0016020]; phosphate ion binding [GO:0042301]		PF12849;
tr|K2R2T6|K2R2T6_METFP	UPIMAPI	Proteasome subunit alpha (20S proteasome alpha subunit) (Proteasome core protein PsmA)	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]		PF00227;PF10584;
tr|K2R153|K2R153_METFP	UPIMAPI	TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription initiation [GO:0006352]		PF00352;
tr|K2QYM4|K2QYM4_METFP	UPIMAPI	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	2.8.4.1	PF02249;PF02745;
tr|K2QWB3|K2QWB3_METFP	UPIMAPI	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]; RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]; gene expression [GO:0010467]	5.2.1.8	PF18046;PF22199;PF00254;
tr|K2QE46|K2QE46_METFP	UPIMAPI	Transcriptional regulator GfcR	DNA binding [GO:0003677]; orotate phosphoribosyltransferase activity [GO:0004588]; pyrimidine nucleobase biosynthetic process [GO:0019856]; regulation of gene expression [GO:0010468]; UMP biosynthetic process [GO:0006222]		PF00156;
tr|K2Q9W3|K2Q9W3_METFP	UPIMAPI	UPF0145 protein A994_12046			PF01906;
tr|K2E7V3|K2E7V3_9BACT	UPIMAPI	Capsule polysaccharide biosynthesis protein			
tr|K2DQQ0|K2DQQ0_9BACT	UPIMAPI	Solute-binding protein family 5 domain-containing protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|K2DQ07|K2DQ07_9BACT	UPIMAPI	Pyruvate, phosphate dikinase	ATP binding [GO:0005524]; kinase activity [GO:0016301]; pyruvate, phosphate dikinase activity [GO:0050242]; pyruvate metabolic process [GO:0006090]		PF00391;PF01326;
tr|K2D500|K2D500_9BACT	UPIMAPI	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding domain-containing protein	NAD binding [GO:0051287]; oxidoreductase activity [GO:0016491]		PF02826;
tr|K2D2X6|K2D2X6_9BACT	UPIMAPI	Tr-type G domain-containing protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome disassembly [GO:0032790]		PF22042;PF14492;PF00009;
tr|K2CT31|K2CT31_9BACT	UPIMAPI	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	2.7.1.11	PF00365;
tr|K1YHD0|K1YHD0_9BACT	UPIMAPI	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		PF00441;PF02770;PF02771;
tr|K1YCX2|K1YCX2_9BACT	UPIMAPI	Solute-binding protein family 3/N-terminal domain-containing protein	amino acid transport [GO:0006865]		PF00497;
tr|K1YAM0|K1YAM0_9BACT	UPIMAPI	Solute-binding protein family 3/N-terminal domain-containing protein	amino acid transport [GO:0006865]		PF00497;
tr|K1Y8P4|K1Y8P4_9BACT	UPIMAPI	Pyruvate/ketoisovalerate oxidoreductase catalytic domain-containing protein	oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]		PF01558;
tr|K1Y6T9|K1Y6T9_9BACT	UPIMAPI	Leucine-binding protein domain-containing protein	amino acid transport [GO:0006865]		PF13458;
tr|K1Y3I3|K1Y3I3_9BACT	UPIMAPI	SusD family protein			PF12771;
tr|K1Y2X6|K1Y2X6_9BACT	UPIMAPI	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]		PF13715;PF07715;
tr|K1Y0P8|K1Y0P8_9BACT	UPIMAPI	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		PF00441;PF02770;PF02771;
tr|K1WWL5|K1WWL5_MARBU	UPIMAPI	Misato	mitochondrion [GO:0005739]; mitochondrion organization [GO:0007005]		PF10644;PF14881;
tr|K1TSN6|K1TSN6_9ZZZZ	UPIMAPI	Outer membrane protein, probably involved in nutrient binding protein	cell outer membrane [GO:0009279]		PF00593;
tr|K1MCD4|K1MCD4_9LACT	UPIMAPI	Beta-aspartyl-peptidase	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor [GO:0050485]		PF09338;
tr|K0YV38|K0YV38_9ACTO	UPIMAPI	Periplasmic binding protein domain-containing protein	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]		PF13407;
tr|K0AXF7|K0AXF7_GOTA9	UPIMAPI	Oligopeptide transporter, periplasmic-binding protein OppA	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|J9VFD8|J9VFD8_MYCTX	UPIMAPI	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; plastid single subunit type RNA polymerase activity [GO:0001066]; ribonucleoside binding [GO:0032549]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]	2.7.7.6	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560;
tr|J9G6Y0|J9G6Y0_9ZZZZ	UPIMAPI	Chaperonin GroL	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; protein refolding [GO:0042026]		PF00118;
tr|J7QY30|J7QY30_ECOLX	UPIMAPI	Sulfur carrier protein FdhD	cytoplasm [GO:0005737]; sulfur carrier activity [GO:0097163]; sulfurtransferase activity [GO:0016783]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		PF02634;
tr|J7Q6J5|J7Q6J5_ECOLX	UPIMAPI	Phosphoglucomutase (EC 5.4.2.2)	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; carbohydrate metabolic process [GO:0005975]	5.4.2.2	PF02878;PF02879;PF02880;PF00408;
tr|J7LQP0|J7LQP0_SALET	UPIMAPI	Plasmid replication protein (Replication initiation protein)	DNA-directed DNA polymerase activity [GO:0003887]; DNA replication initiation [GO:0006270]		PF21205;PF01051;
tr|J7LPI6|J7LPI6_SALET	UPIMAPI	TriE protein	membrane [GO:0016020]; protein secretion by the type IV secretion system [GO:0030255]		PF04610;
tr|J7J1V9|J7J1V9_DESMD	UPIMAPI	Short-chain alcohol dehydrogenase like protein	oxidoreductase activity [GO:0016491]		PF00106;
tr|J6UBS2|J6UBS2_9RHOB	UPIMAPI	Xanthine dehydrogenase iron-sulfur subunit	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]		PF01315;PF00111;PF01799;PF02738;PF20256;
tr|J4KM59|J4KM59_BEAB2	UPIMAPI	DUF5648 domain-containing protein			PF18885;
tr|J3JFR1|J3JFR1_9EURY	UPIMAPI	TIGR00266 family protein			PF01987;
tr|J3C526|J3C526_FLASC	UPIMAPI	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|J2WTF7|J2WTF7_9BRAD	UPIMAPI	RHS repeat-associated core domain protein containing protein			
tr|J2PJM2|J2PJM2_9BACL	UPIMAPI	SbsA Ig-like domain-containing protein			PF13205;
tr|J1L3I8|J1L3I8_9EURY	UPIMAPI	von Willebrand factor type A			PF02369;PF13519;
tr|J1I3M7|J1I3M7_9BACT	UPIMAPI	T9SS C-terminal target domain-containing protein			
tr|J1HAK4|J1HAK4_CLOS9	UPIMAPI	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	4.2.1.11	PF00113;PF03952;
tr|J1H354|J1H354_CLOS9	UPIMAPI	Periplasmic binding protein and sugar binding domain of the LacI family protein	cell envelope [GO:0030313]; carbohydrate binding [GO:0030246]		PF13407;
tr|J1H030|J1H030_CLOS9	UPIMAPI	ABC transporter, substrate-binding protein, family 5	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|J0RY59|J0RY59_9EURY	UPIMAPI	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	2.8.4.1	PF02249;PF02745;
tr|J0RY20|J0RY20_9EURY	UPIMAPI	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	1.5.98.1	PF01993;
tr|J0HCT8|J0HCT8_RHILT	UPIMAPI	Peptidase U49			
tr|J0H612|J0H612_RHILT	UPIMAPI	Glutamate synthase family protein	3 iron, 4 sulfur cluster binding [GO:0051538]; glutamate synthase activity [GO:0015930]; metal ion binding [GO:0046872]; ammonia assimilation cycle [GO:0019676]; glutamate biosynthetic process [GO:0006537]		PF00310;PF04898;PF01645;PF01493;
tr|J0H608|J0H608_RHILT	UPIMAPI	Lysophospholipase			PF12146;
tr|J0GXF8|J0GXF8_RHILT	UPIMAPI	Sarcosine oxidase, alpha subunit family, heterotetrameric form	sarcosine oxidase activity [GO:0008115]; tetrahydrofolate metabolic process [GO:0046653]		PF13510;PF01571;PF08669;PF07992;PF17806;
tr|J0GX79|J0GX79_RHILT	UPIMAPI	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	cytosol [GO:0005829]; 1,4-alpha-glucan branching enzyme activity [GO:0003844]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen biosynthetic process [GO:0005978]	2.4.1.18	PF00128;PF02806;PF02922;PF22019;
tr|I9ZN41|I9ZN41_HELPX	UPIMAPI	Transposase, IS605 OrfB family (EC 2.1.1.37)	DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates [GO:0051719]; DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates [GO:0051720]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; methylation [GO:0032259]; transposition [GO:0032196]	2.1.1.37	PF12323;PF01385;PF07282;
tr|I9XI41|I9XI41_RHILT	UPIMAPI	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]	6.3.5.1	PF00795;PF02540;
tr|I9X9A6|I9X9A6_RHILT	UPIMAPI	Uncharacterized protein			PF03401;
tr|I9X0J4|I9X0J4_RHILT	UPIMAPI	FecR protein domain-containing protein			PF04773;
tr|I9NFR2|I9NFR2_RHILT	UPIMAPI	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		PF02954;PF00072;PF00158;
tr|I9NCA8|I9NCA8_RHILT	UPIMAPI	5'-nucleotidase/2',3'-cyclic phosphodiesterase-like hydrolase	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]		PF02872;PF01476;PF00149;
tr|I9LEV0|I9LEV0_9FIRM	UPIMAPI	Microcompartments protein	bacterial microcompartment [GO:0031469]		PF00936;
